Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,South Sudan,SSD,..
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Spain,ESP,46733.4809780536
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Sri Lanka,LKA,13249.065064602
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,St. Kitts and Nevis,KNA,29749.8700864823
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,St. Lucia,LCA,22962.2818144554
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,St. Martin (French part),MAF,..
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,St. Vincent and the Grenadines,VCT,16835.023514541
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Sudan,SDN,3132.0771484375
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Suriname,SUR,18742.5873760369
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Sweden,SWE,63088.4236678734
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Switzerland,CHE,82777.293582076
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Syrian Arab Republic,SYR,4454.85373271464
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Tajikistan,TJK,4213.75618362687
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Tanzania,TZA,3546.98095703125
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Thailand,THA,20762.7952598527
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Timor-Leste,TLS,5348.49200064987
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Togo,TGO,2739.68813234711
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Tonga,TON,6810.60970632543
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Trinidad and Tobago,TTO,30784.1112580356
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Tunisia,TUN,12712.22345453
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Turkiye,TUR,33520.8111384208
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Turkmenistan,TKM,17119.5744946142
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Turks and Caicos Islands,TCA,28209.6242536079
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Tuvalu,TUV,5498.18455447209
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Uganda,UGA,2724.90609568409
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Ukraine,UKR,13787.12109375
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,United Arab Emirates,ARE,70075.6300053372
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,United Kingdom,GBR,53139.151252206
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,United States,USA,72679.2575396348
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Uruguay,URY,30804.7032775797
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Uzbekistan,UZB,9607.56167273449
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Vanuatu,VUT,3222.83595459346
"GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,""Venezuela, RB"",VEN,.."
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Viet Nam,VNM,12979.7639049934
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Virgin Islands (U.S.),VIR,46479.2996685326
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,West Bank and Gaza,PSE,5753.08395899307
"GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,""Yemen, Rep."",YEM,.."
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Zambia,ZMB,3585.12379084347
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Zimbabwe,ZWE,5036.76136109489
