Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,United Kingdom,GBR,10.452
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,United States,USA,8.105
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Uruguay,URY,25.32
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Uzbekistan,UZB,10.962
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Vanuatu,VUT,11.794
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,""Venezuela, RB"",VEN,10.691"
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Viet Nam,VNM,5.952
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Virgin Islands (U.S.),VIR,27.506
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,West Bank and Gaza,PSE,36.092
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,""Yemen, Rep."",YEM,32.727"
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Zambia,ZMB,9.85
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Zimbabwe,ZWE,16.984
