Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,St. Lucia,LCA,1.56021196688226
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,St. Martin (French part),MAF,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,St. Vincent and the Grenadines,VCT,1.58273538831209
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Sudan,SDN,3.05802244254419
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Suriname,SUR,1.58410696870175
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Sweden,SWE,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Switzerland,CHE,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Syrian Arab Republic,SYR,31.4787623609564
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Tajikistan,TJK,4.18447111360647
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Tanzania,TZA,3.55757595208918
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Thailand,THA,0.115752157534506
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Timor-Leste,TLS,7.34741893667808
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Togo,TGO,4.9626430205307
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Tonga,TON,50.6841565356857
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Trinidad and Tobago,TTO,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Tunisia,TUN,2.74434249913848
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Turkiye,TUR,0.0873712782957776
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Turkmenistan,TKM,0.0391914391031228
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Turks and Caicos Islands,TCA,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Tuvalu,TUV,79.7829644797151
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Uganda,UGA,4.83671763802895
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Ukraine,UKR,16.8350050093792
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,United Arab Emirates,ARE,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,United Kingdom,GBR,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,United States,USA,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Uruguay,URY,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Uzbekistan,UZB,1.73923639093832
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Vanuatu,VUT,10.3104725144921
"Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,""Venezuela, RB"",VEN,0.310771646099845"
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Viet Nam,VNM,0.0127149180103884
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Virgin Islands (U.S.),VIR,..
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,West Bank and Gaza,PSE,9.44712725838066
"Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,""Yemen, Rep."",YEM,.."
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Zambia,ZMB,6.61955080354939
Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,Zimbabwe,ZWE,1.96433663088272
